id,category,question,expected_answer,generated_answer,term_recall,matched_terms,unsupported_facts,accuracy,completeness,hallucination_free,source_reference
cost_12,cost,"Программная инженерия, цена за год в Москве, только по делу",один год по программе Программная инженерия в Москве стоит 800 тыс руб,"Ответ: Цена за год обучения по направлению Программная инженерия в Москве составляет 800 тысяч рублей.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['программная инженерия', '800']",[],1,1.0,1,1
cost_13,cost,"Дизайн и разработка инфопродуктов, сколько в год, Москва ВШЭ",один год по программе Дизайн и разработка информационных продуктов в Москве стоит 780 тыс руб,"Ответ: Стоимость поступления на программу «Дизайн и разработка инфопродуктов» в НИУ ВШЭ – Москва составляет 780 тысяч рублей.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0.5,['780'],[],0,0.5,1,1
cost_14,cost,"Разработка игр и цифровых продуктов, сколько платить за год обучения",один год по программе Разработка игр и цифровых продуктов в Москве стоит 850 тыс руб,"Ответ: За год обучения за платное место в программе ""Разработка игр и цифровых продуктов"" нужно платить 850 рублей.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['разработка игр и цифровых продуктов', '850']",[],1,1.0,1,1
cost_15,cost,"Информационная безопасность, год обучения сколько стоит в Москве",один год по программе Информационная безопасность в Москве стоит 590 тыс руб,"Ответ: Точная стоимость обучения по направлению ""Информационная безопасность"" в Москве не указана в данном фрагменте.
Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский университет «Высшая школа экономики»",0.5,['информационная безопасность'],[],0,0.5,1,1
cost_16,cost,"Инфокоммуникации и системы связи, какой ценник за год в Москве",один год по программе Инфокоммуникационные технологии и системы связи в Москве стоит 500 тыс руб,"Ответ: 500
Источник: Приложение 1_Москва.pdf",0.5,['500'],[],0,0.5,1,1
cost_17,cost,"Психология в ВШЭ Москва, сколько стоит год, просто сумма",один год по программе Психология в Москве стоит 670 тыс руб,"Ответ: Точная стоимость обучения по программе психологии в НИУ ВШЭ Москва в 2025 году не указана в данном фрагменте.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0.0,[],[],0,0.0,1,1
cost_18,cost,"Экономика, стоимость за год в Москве, если можно без лишнего",один год по программе Экономика в Москве стоит 770 тыс руб,"Ответ: Точная информация о стоимости обучения за год в Москве для программы Экономика отсутствует в данном фрагменте.
Источник: Документ: Порядок заселения в общежитие НИУ ВШЭ студентов 1 курса бакалавриата/специалитета набора 2025 года граждане РФ — Дирекция по управлению общежитиями, гостиницами, учебно-оздоровительными комплексами",0.5,['экономика'],[],0,0.5,1,1
cost_19,cost,"Экономика и анализ данных, сколько денег за один год обучения",один год по программе Экономика и анализ данных в Москве стоит 790 тыс руб,"Ответ: 790 тысяч рублей за один год обучения.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0.5,['790'],[],0,0.5,1,1
cost_20,cost,"Экономика и статистика, сколько стоит год, я перепроверяю",один год по программе Экономика и статистика в Москве стоит 660 тыс руб,"Ответ: Год обучения по программе Экономика и статистика стоит 660.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['экономика и статистика', '660']",[],1,1.0,1,1
cost_21,cost,"Мировая экономика, цена за год обучения, Москва",один год по программе Мировая экономика в Москве стоит 780 тыс руб,"Ответ: Цена за год обучения по направлению Мировая экономика составляет 780 рублей.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['мировая экономика', '780']",[],1,1.0,1,1
cost_22,cost,"Экономический анализ онлайн, сколько это стоит за год",один год по программе Экономический анализ онлайн в Москве стоит 510 тыс руб,"Ответ: Экономический анализ (онлайн) стоит 510 рублей за год.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['экономический анализ онлайн', '510']",[],1,1.0,1,1
cost_23,cost,"Маркетинг и рыночная аналитика, цена за год обучения в Москве",один год по программе Маркетинг и рыночная аналитика в Москве стоит 850 тыс руб,"Ответ: Цена за год обучения в Москве для направления подготовки 38.03.02 Маркетинг и рыночная аналитика составляет 850 рублей.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['маркетинг и рыночная аналитика', '850']",[],1,1.0,1,1
cost_24,cost,"Управление бизнесом, сколько стоит год, Москва ВШЭ",один год по программе Управление бизнесом в Москве стоит 850 тыс руб,"Ответ: Год обучения по программе «Управление бизнесом» в Москве стоит 850 рублей.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['управление бизнесом', '850']",[],1,1.0,1,1
cost_25,cost,"Госуправление, то есть ГМУ, сколько за год обучения в Москве",один год по программе Государственное и муниципальное управление в Москве стоит 550 тыс руб,"Ответ: Точной информации о стоимости обучения по направлению Государственное и муниципальное управление (ГМУ) в НИУ ВШЭ за год в Москве нет в данном фрагменте.
Источник: Порядок заселения в общежитие НИУ ВШЭ студентов 1 курса бакалавриата/специалитета набора 2025 года граждане РФ — Дирекция по управлению общежитиями",0.5,['государственное и муниципальное управление'],[],0,0.5,1,1
dates_01,dates,"По Компьютерной безопасности, когда можно подавать документы в 2026, отдельно бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Бюджетные места на специальность Компьютерная безопасность можно подавать с 20 июня по 25 июля 2026 года. Платные места можно подавать с 20 июня по 12 августа 2026 года.
Источник: Приложение 1.pdf",1.0,"['20 июня', '25 июля', '12 августа', '20', '25', '2026', '12']",[],1,1.0,1,1
dates_02,dates,"Математика, подскажи дедлайны приема документов в 2026, бюджет и платка","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Бюджетные места для математики принимаются с 20 июня по 14 июля 2026 года. Платные места принимаются с 20 июня по 12 августа 2026 года.
Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_03,dates,"Для ПМИ в 2026 какие даты приема документов, я хочу успеть на бюджет, но хочу знать и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Бюджетные места для поступления в 2026 году принимаются с 20 июня по 14 июля, а платные места — с 20 июня по 12 августа.
Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_04,dates,"Компьютерные науки и анализ данных онлайн, когда принимают документы в 2026, бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Компьютерные науки и анализ данных принимают документы с 20 июня по 14 июля 2026 года как на бюджетных, так и на платных местах.
Источник: Приложение 1.pdf",0.42857142857142855,"['20 июня', '20', '2026']",[],0,0.42857142857142855,1,1
dates_05,dates,"Прикладная математика, какие сроки подачи документов в 2026, чтобы не пролететь","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Сроки подачи документов на бюджетные места для Прикладной математики в 2026 году с 20 июня по 14 июля.
Источник: Приложение 1.pdf",0.42857142857142855,"['20 июня', '20', '2026']",[],0,0.42857142857142855,1,1
dates_06,dates,"Физика, даты приема документов в 2026, можно коротко бюджет и платка","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: С 20 июня по 12 августа 2026 года.
Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский университет «Высшая школа экономики»",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_07,dates,"Химия новых материалов, когда подаются документы в 2026, я путаю даты","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Платные места для направления ""Химия новых материалов"" подаются с 20 июня по 12 августа 2026 года.
Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_08,dates,"Биотехнология клеточная и молекулярная, до какого числа можно подать в 2026 на бюджет и на платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Бюджетные места для направления ""Клеточная и молекулярная биотехнология"" можно подать с 20 июня по 14 июля 2026 года.
Источник: Приложение 1.pdf",0.42857142857142855,"['20 июня', '20', '2026']",[],0,0.42857142857142855,1,1
dates_09,dates,"Когнитивная нейробиология, какие сроки приема документов в 2026, хочу понять крайний день","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Крайний день подачи документов на все образовательные программы в 2026 году — 8 августа.
Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский университет «Высшая школа экономики»",0.2857142857142857,"['20', '2026']",[],0,0.2857142857142857,1,1
dates_10,dates,"Городское планирование, сроки подачи в 2026, бюджет отдельно и платное отдельно","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Сроки подачи документов на программу ""Девелопмент и городское планирование"" в 2026 году для бюджетных мест с 20 июня по 14 июля, а для платных мест с 20 июня по 12 августа.
Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и городское планирование» — Национальный исследовательский университет «Высшая школа экономики»",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_11,dates,"ИВТ, когда открывается прием документов и когда закрывается в 2026, бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Бюджетные места на информатику и ИВТ открываются с 20 июня по 14 июля 2026 года, платные места — с 20 июня по 12 августа 2026 года.
Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_12,dates,"Программная инженерия, какие даты приема документов в 2026, чтобы я нормально спланировал","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: С 20 июня по 12 августа 2026 года.
Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_13,dates,"Дизайн и разработка инфопродуктов, подскажи сроки подачи документов в 2026, бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Сроки подачи документов на платные места для дизайна и разработки инфопродуктов в 2026 году с 20 июня по 03 августа.
Источник: Приложение 1.pdf",0.42857142857142855,"['20 июня', '20', '2026']",[],0,0.42857142857142855,1,1
dates_14,dates,"Разработка игр, какие сроки приема документов в 2026, хочу знать последний день","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Сроки приема документов на программу ""Разработка игр и цифровых продуктов"" в 2026 году заканчиваются 12 августа.
Источник: Приложение 1.pdf",0.5714285714285714,"['12 августа', '20', '2026', '12']",[],0,0.5714285714285714,1,1
dates_15,dates,"Информационная безопасность, сроки подачи документов в 2026, бюджет и платка","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Сроки подачи документов на бюджетные места для направления подготовки 11.03.02 Инфокоммуникационные технологии и системы связи с 20 июня по 25 июля 2026 года. Платные места принимаются с 20 июня по 12 августа 2026 года.
Источник: Приложение 1.pdf",1.0,"['20 июня', '25 июля', '12 августа', '20', '25', '2026', '12']",[],1,1.0,1,1
dates_16,dates,"Инфокоммуникации и связь, когда можно подать документы в 2026, и когда уже поздно","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Платные места по направлению подготовки 11.03.02 Инфокоммуникационные технологии и системы связи можно подать с 20 июня по 12 августа 2026 года.
Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_17,dates,"Психология, сроки приема документов в 2026, я боюсь пропустить бюджет","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Сроки приема документов на бюджетные места по направлению подготовки 37.03.01 Психология в 2026 году составляют с 20 июня по 14 июля.
Источник: Приложение 1.pdf",0.42857142857142855,"['20 июня', '20', '2026']",[],0,0.42857142857142855,1,1
dates_18,dates,"Экономика, когда принимают документы в 2026, отдельно бюджет и отдельно платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Бюджетные места на экономику принимают с 20 июня по 14 июля 2026 года. Платные места принимают с 20 июня по 12 августа 2026 года.
Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_19,dates,"Экономика и анализ данных, сроки подачи в 2026, скажи как в документе","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: сроки подачи на программу ""Экономика и анализ данных"" в 2026 году указаны с 20 июня по 03 августа 2026 года.
Источник: Приложение 1.pdf",0.42857142857142855,"['20 июня', '20', '2026']",[],0,0.42857142857142855,1,1
dates_20,dates,"Экономика и статистика, подскажи даты приема документов в 2026, я хочу записать себе","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Сроки приема для бюджетных мест на направление «Экономика и статистика» в 2026 году составляют с 20 июня по 25 июля.
Источник: Информирование о приеме – 2026 – Абитуриентам бакалавриата – Национальный исследовательский университет «Высшая школа экономики»",0.7142857142857143,"['20 июня', '25 июля', '20', '25', '2026']",[],1,0.7142857142857143,1,1
dates_21,dates,"Мировая экономика, какие сроки подачи документов в 2026, бюджет и платка","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Сроки подачи документов на бюджетные места для Мировой экономики в 2026 году с 20 июня по 14 июля. Платные места принимаются с 20 июня по 12 августа 2026 года.
Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_22,dates,"Экономический анализ онлайн, даты приема документов в 2026, просто период","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Даты приема документов на все образовательные программы в НИУ ВШЭ в 2026 году завершаются 8 августа.
Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский университет «Высшая школа экономики»",0.2857142857142857,"['20', '2026']",[],0,0.2857142857142857,1,1
dates_23,dates,"Маркетинг и аналитика, когда подаются документы в 2026, бюджет и платка","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Маркетинг и аналитика подаются с 20 июня по 25 июля 2026 года как бюджетные места.
Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '25 июля', '20', '25', '2026']",[],1,0.7142857142857143,1,1
dates_24,dates,"Управление бизнесом, сроки приема документов в 2026, чтобы я не тупил потом","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Сроки приема документов на платные места для программы «Управление бизнесом» завершаются 12 августа 2026 года.
Источник: Приложение 1.pdf",0.5714285714285714,"['12 августа', '20', '2026', '12']",[],0,0.5714285714285714,1,1
dates_25,dates,"ГМУ, то есть гос и муниципальное управление, когда можно подать документы в 2026, бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Бюджетные места на направление подготовки 09.03.01 Информатика и вычислительная техника можно подать с 20 июня по 25 июля 2026 года. Платные места можно подать с 20 июня по 12 августа 2026 года.
Источник: Приложение 1.pdf",1.0,"['20 июня', '25 июля', '12 августа', '20', '25', '2026', '12']",[],1,1.0,1,1
contacts_01,contacts,Какой телефон у приемной комиссии ВШЭ в Москве?,Телефоны приемной комиссии: (495) 771-32-42 и (495) 916-88-44.,"Ответ: Телефон приемной комиссии ВШЭ в Москве: (495) 771-32-42; (495) 916-88-44
Источник: Контакты — Национальный исследовательский университет «Высшая школа экономики»",1.0,"['771 32 42', '916 88 44', '495 771 32 42', '495 916 88 44']",[],1,1.0,1,1
contacts_02,contacts,Какой телефон у справочной НИУ ВШЭ?,Телефон справочной НИУ ВШЭ: +7 (495) 771-32-32.,"Ответ: Тел.: +7 (495) 771-32-32
Источник: Контакты — Национальный исследовательский университет «Высшая школа экономики»",0.6666666666666666,"['771 32 32', '7 495 771 32 32']",[],1,0.6666666666666666,1,1
contacts_03,contacts,Какая электронная почта приемной комиссии ВШЭ в Москве?,Электронная почта приемной комиссии НИУ ВШЭ в Москве: abitur@hse.ru.,"Ответ: электронная почта приемной комиссии НИУ ВШЭ в Москве – abitur@hse.ru.
Источник: Правила_приема_бак_2026_принятые_изменения_v12.pdf",0.6666666666666666,"['abitur', 'hse']",[],1,0.6666666666666666,1,1
dormitory_01,dormitory,Кому из первокурсников ВШЭ в 2025 году обещали места в общежитиях?,"Места в общежитиях получат студенты-первокурсники, поступившие на бесплатные места в бакалавриате и специалитете Вышки в 2025 году.","Ответ: Все студенты-первокурсники, поступившие на бесплатные места в бакалавриате и специалитете Вышки в 2025 году, получат места в общежитиях.
Источник: Часто задаваемые вопросы — 2025 – Абитуриентам бакалавриата – Национальный исследовательский университет «Высшая школа экономики»",1.0,"['первокурсники', 'бесплатные места', 'общежитиях', '2025']",[],1,1.0,1,1
dormitory_02,dormitory,Где первокурсник получает направление на заселение в общежитие?,Направления на заселение выдаются автоматически через Личный кабинет абитуриента.,"Ответ: Первокурсник получает направление на заселение в общежитие в Личном кабинете студента, если при подаче документов указал на необходимость предоставления общежития.
Источник: Порядок заселения в общежитие НИУ ВШЭ студентов 1 курса бакалавриата/специалитета набора 2025 года граждане РФ — Дирекция по управлению общежитиями, г",0.0,[],[],0,0.0,1,1
dormitory_03,dormitory,На какую почту отправлять заявку на место в общежитии?,Заявки на место в общежитии необходимо отправлять на почту dormcom@hse.ru.,"Ответ: Заявки необходимо отправлять на почту dormcom@hse.ru.
Источник: Подача заявки на получение места в общежитии (кроме поступивших на бесплатные места) – Абитуриентам бакалавриата – Национальный исследовательский университет «Высшая школа экономики»",1.0,"['dormcom', 'hse']",[],1,1.0,1,1
documents_01,documents,Какими способами можно подать документы в приемную кампанию 2026 года?,"Очно и почтой документы подать можно, а дистанционно заявление можно подать через суперсервис ""Поступление в вуз онлайн"" на Госуслугах.","Ответ: Доступные способы подачи документов в приемную кампанию 2026 года включают приход очно по адресу Приемной комиссии, отправку с помощью операторов почтовой связи, а также подачу заявления через суперсервис «Поступление в вуз онлайн» портала «Госуслуги».
Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский",1.0,"['очно', 'почтовой связи', 'госуслуги']",[],1,1.0,1,1
documents_02,documents,Какой уровень образования нужен для поступления на бакалавриат или специалитет?,"Нужно иметь среднее общее образование, среднее профессиональное образование с квалификацией или высшее образование с квалификацией.","Ответ: Для поступления на бакалавриат или специалитет допускаются лица, имеющие среднее общее или среднее профессиональное образование, а также лица, имеющие высшее образование.
Источник: Правила_приема_бак_2026_принятые_изменения_v12.pdf",0.0,[],[],0,0.0,1,1
documents_03,documents,Где на сайте ВШЭ размещены документы и правила приема?,"Документы размещены в разделе документов и правил приема, включая правила приема и документы приемной комиссии.","Ответ: Документы и правила приема размещены на сайте НИУ ВШЭ по адресу: https://ba.hse.ru/docs.
Источник: Документ: Документы и правила приема – Абитуриентам бакалавриата – Национальный исследовательский университет «Высшая школа экономики»
Источник: https://ba.hse.ru/docs",0.5,['правила приема'],[],0,0.5,1,1
programs_01,programs,Какие вступительные предметы указаны для Девелопмента и городского планирования?,"Указаны математика, русский язык и один предмет на выбор: физика, история, информатика или география.","Ответ: Вступительные предметы для программы «Девелопмент и городское планирование» включают математику (минимальный балл – 60), русский язык (минимальный балл – 65), а также один из предметов: физика, история, информатика или география (минимальный балл – 65).
Источник: Часто задаваемые вопросы — Образовательная программа «Девелоп",0.8333333333333334,"['русский язык', 'физика', 'история', 'информатика', 'география']",[],1,0.8333333333333334,1,1
programs_02,programs,Сколько лет длится очное обучение по Девелопменту и городскому планированию?,Срок получения образования при очной форме обучения составляет 5 лет.,"Ответ: Срок обучения по программе «Девелопмент и городское планирование» при очной форме обучения составляет 5 лет.
Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и городское планирование» — Национальный исследовательский университет «Высшая школа экономики»",1.0,"['очной форме', '5 лет', '5']",[],1,1.0,1,1
programs_03,programs,Какие специализации планируются на 3 курсе Девелопмента и городского планирования?,На 3 курсе планируются траектории: Девелопмент и Городское планирование.,"Ответ: На 3 курсе Девелопмента и городского планирования планируются специализации по траекториям Девелопмент и Городское планирование.
Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и городское планирование» — Национальный исследовательский университет «Высшая школа экономики»",1.0,"['девелопмент', 'городское планирование', '3']",[],1,1.0,1,1
conditions_01,conditions,Сколько баллов можно получить за индивидуальные достижения?,За индивидуальные достижения можно получить до 10 баллов.,"Ответ: За индивидуальные достижения можно получить до 10 баллов (при поступлении на целевую квоту до 15 баллов).
Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский университет «Высшая школа экономики»",1.0,"['индивидуальные достижения', 'до 10 баллов', '10']",[],1,1.0,1,1
conditions_02,conditions,Можно ли подать документы с баллом ЕГЭ ниже 50?,"Нет, подать документы можно только если балл по предмету ЕГЭ 50 и выше.","Ответ: Нет, подать документы можно только в случае, если балл по предмету ЕГЭ 50 и выше.
Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и городское планирование» — Национальный исследовательский университет «Высшая школа экономики»",1.0,"['егэ 50', 'выше', '50']",[],1,1.0,1,1
conditions_03,conditions,Могут ли победители и призеры олимпиад поступить без вступительных испытаний?,"Да, победители и призеры Всероссийской олимпиады школьников и некоторых олимпиад из перечня могут поступить без вступительных испытаний.","Ответ: Победители и призеры Всероссийской олимпиады школьников и некоторых олимпиад, входящих в Перечень олимпиад школьников, могут поступить на программу без вступительных испытаний.
Источник: https://ba.hse.ru/olimpinfo",1.0,"['победители', 'призеры', 'без вступительных испытаний']",[],1,1.0,1,1
